class,count,capital,ave_cap
一次電池製造,51,30956576040.0,606991687.0588236
一般事業廢棄物清除,1863,18178078224.0,9757422.557165861
一般事業廢棄物處理,544,20663199446.0,37983822.511029415
一般保險公證,28,79000000.0,2821428.5714285714
一般廢棄物處理,584,16459957340.0,28184858.45890411
一般麵條、粉條製造,189,1786720420.0,9453547.195767196
三溫暖浴室,27,302122680.0,11189728.888888888
上網專門店,141,70370000.0,499078.0141843972
不動產代銷,456,2709166888.0,5941155.456140351
不動產仲介,4852,24460808296.0,5041386.705688376
不動產估價,19,269627000.0,14190894.736842105
不動產投資開發,16287,999020227414.0,61338504.78381531
不動產租賃,8008,688461116657.0,85971667.9142108
不動產買賣,7383,441429940533.0,59790050.18732223
不動產轉租賃,431,11504373424.0,26692281.726218097
不織布製造,193,10614209814.0,54995905.77202073
中古商品（汽機車及其零配件除外）批發,51,191105000.0,3747156.862745098
中古機車批發,25,42848000.0,1713920.0
中古機車零售,63,83150000.0,1319841.2698412698
中古汽機車零配件零售,52,80668000.0,1551307.6923076923
中古汽車批發,531,3556419660.0,6697588.813559322
中古汽車零售,1852,3535898422.0,1909232.4092872571
中古藝術品零售,162,924075000.0,5704166.666666667
中央空調系統製造,63,781230000.0,12400476.19047619
中藥批發,570,10488393850.0,18400690.96491228
中藥製造,71,7088072160.0,99832002.25352113
中藥零售,539,1990177000.0,3692350.649350649
主機卡（板）製造,10,2174322950.0,217432295.0
乳製品（奶粉除外）批發,186,1630210000.0,8764569.892473118
乳製品（奶粉除外）零售,67,523119430.0,7807752.686567164
乾燥水產品批發,42,167248000.0,3982095.238095238
乾燥水產品零售,21,14708000.0,700380.9523809524
事務機械設備製造,190,13101729120.0,68956469.05263157
二極體製造,22,110192846780.0,5008765762.727273
二次電池製造,52,6918264610.0,133043550.1923077
人力供應,2777,11041622163.0,3976097.2859200574
人力車、畜力車運輸,48,86569000.0,1803520.8333333333
人用西藥製造,144,54465146390.0,378230183.2638889
人身保險,38,653146681029.0,17188070553.394737
人身保險代理,53,557519000.0,10519226.41509434
人身保險經紀,103,3773555939.0,36636465.42718446
人造纖維加工絲製造,18,5559363800.0,308853544.4444444
人造纖維織品批發,404,6395832460.0,15831268.465346534
人造纖維織品零售,34,863600000.0,25400000.0
人造花製造,15,100000000.0,6666666.666666667
代催收逾期應收帳款服務,18,1232000000.0,68444444.44444445
代客碾穀,57,196189000.0,3441912.2807017546
代客磨粉,15,74990000.0,4999333.333333333
代客編織（成衣）,16,119285000.0,7455312.5
代客編織（服飾品）,8,3200000.0,400000.0
代客鋸木,5,15100000.0,3020000.0
代客錄影（結婚攝影除外）,109,286909800.0,2632200.0
代步車製造,9,173400000.0,19266666.666666668
代計噸位,22,15666000.0,712090.9090909091
代辦留（遊）學服務,294,749797168.0,2550330.5034013605
以自動販賣機零售商品,85,132112500.0,1554264.705882353
仿皮革及其他材料製行李箱及手提袋製造,124,1045519800.0,8431611.290322581
企業總管理機構,17,875378830.0,51492872.35294118
企業識別標誌設計,146,382847888.0,2622245.808219178
伐木,52,218862500.0,4208894.230769231
住宅營建,2420,93002647838.0,38430846.214049585
作物採收後處理,164,1124257022.0,6855225.743902439
作物栽培服務,337,10354186202.0,30724588.136498515
便當、自助餐店,1687,1137963999.0,674548.9027860106
保健食品批發,1848,9894165308.0,5353985.556277056
保健食品零售,801,3281422770.0,4096657.6404494382
保全服務,459,19795333980.0,43127089.28104575
保溫容器製造,13,165330000.0,12717692.307692308
保險精算,6,19530000.0,3255000.0
保齡球館,32,627290000.0,19602812.5
信用卡推展服務,2,214000000.0,107000000.0
信用卡業務輔助,7,511000000.0,73000000.0
信用卡發卡機構,5,4366000000.0,873200000.0
信用合作社,24,9574903700.0,398954320.8333333
信用評等服務,14,98800000.0,7057142.857142857
信用調查服務,59,147090000.0,2493050.8474576273
信託資金集合管理運用帳戶,13,13936021000.0,1072001615.3846154
偏光板製造,1,568003000.0,568003000.0
停車場管理,1356,39481440244.0,29116106.374631267
健身中心、健康俱樂部,441,4203295485.0,9531282.278911564
偵探服務,6,44100000.0,7350000.0
傘製造,31,491080000.0,15841290.322580645
光學元件製造,57,4285996930.0,75192928.59649123
免洗餐具批發,245,1220336000.0,4980963.265306123
免洗餐具零售,73,126056000.0,1726794.5205479453
兒童及少年之社會工作服務,6,765530913.0,127588485.5
入口網站經營,446,16084439822.0,36063766.417040356
內建遊戲軟體之遊樂器批發,40,237592000.0,5939800.0
內建遊戲軟體之遊樂器零售,36,194318888.0,5397746.888888889
內河及湖泊水運,29,349270000.0,12043793.103448275
內衣批發,139,616880870.0,4437991.870503597
內衣零售,110,85568000.0,777890.9090909091
內陸漁撈,3,121060000.0,40353333.333333336
全新機車批發,370,3541082210.0,9570492.45945946
全新機車零售,1374,3703738224.0,2695588.2270742357
全新汽車批發,728,40269590903.0,55315372.119505495
全新汽車零售,972,63079625431.0,64896733.98251029
公共場所及家庭垃圾清除,49,216524000.0,4418857.142857143
公墓經營,19,798369000.0,42019421.05263158
公證人事務服務,49,404318070.0,8251389.183673469
公路汽車客運,50,12424990740.0,248499814.8
公路號誌裝修工程,234,838714000.0,3584247.863247863
公開展示廣告,1824,6018410969.0,3299567.4172149124
共同基金,1,10000000.0,10000000.0
其他中古商品（汽機車及其零配件除外）零售,188,1066036444.0,5670406.617021277
其他乳品製造,80,11992883960.0,149911049.5
其他人力仲介,1103,6136825182.0,5563758.097914778
其他人造纖維梭織布製造,176,14581223909.0,82847863.11931819
其他人造纖維紡紗紡製,97,29717431840.0,306365276.7010309
其他人造纖維製造,45,4977957350.0,110621274.44444445
其他信託、基金及類似金融實體,14,119692400000.0,8549457142.857142
其他個人及家庭用品租賃,269,2005530782.0,7455504.765799256
其他公用事業設施工程,469,194964358795.0,415702257.5586354
其他出版,299,2690303000.0,8997668.89632107
其他分離式元件製造,3,406632220.0,135544073.33333334
其他創作,51,917545000.0,17991078.43137255
其他創作及藝術表演輔助服務,352,1455504560.0,4134956.1363636362
其他動植物油脂製造,40,4789920660.0,119748016.5
