country,lifeExp,gdpPercap,pop,continent
投資有價證券,22186,2260428151879.0,101885339.938655,Asia
本國銀行,3453,2153654021610.0,623705190.1563858,Asia
金融控股,36,1677202046880.0,46588945746.666664,Asia
不動產投資開發,16869,999049381963.0,59223983.75499437,Asia
其他投資顧問,6975,789372220287.0,113171644.4855914,Asia
不動產租賃,10827,688564449984.0,63596975.153228045,Asia
人身保險,198,653146681029.0,3298720611.257576,Asia
其他未分類電子零組件製造,4089,614669568813.0,150322711.86427,Asia
電力供應,1900,555040506015.0,292126582.11315787,Asia
電子器材、電子設備批發,18301,455302412616.0,24878553.77389214,Asia
其他積體電路製造,197,450892291900.0,2288793359.898477,Asia
不動產買賣,8031,441464743567.0,54970083.87087536,Asia
其他商品批發經紀,10945,320787439353.0,29309039.68506167,Asia
證券商,774,315009550691.0,406989083.58010334,Asia
鐵路運輸,67,264256500569.0,3944126874.1641793,Asia
其他管理顧問服務,14152,255951614305.0,18085896.997244205,Asia
汽油製造,17,226102004520.0,13300117912.941177,Asia
磊晶矽晶圓製造,87,225408277120.0,2590899737.011494,Asia
其他公用事業設施工程,508,194967687795.0,383794661.0137795,Asia
鑄鐵件鑄造,2189,192210730716.0,87807551.72042029,Asia
電腦製造,219,190307976990.0,868986196.3013699,Asia
其他發電、輸電及配電機械製造,1911,187583327966.0,98159773.92255364,Asia
其他未分類金融輔助,191,184994220628.0,968556128.9424083,Asia
有線通信服務,623,172656864960.0,277137824.97592294,Asia
其他化學原材料及其製品批發,5850,171320134493.0,29285493.075726494,Asia
其他印刷電路板組件製造,57,160403109610.0,2814089642.2807016,Asia
未分類其他土木工程,12116,155080592601.0,12799652.740260812,Asia
其他產業用機械設備維修及安裝,3514,149543767077.0,42556564.33608423,Asia
電腦及電腦週邊設備批發,10459,149202624972.0,14265477.098384166,Asia
用水供應,228,148849582000.0,652849043.8596492,Asia
其他化學原材料製造,404,133840542870.0,331288472.45049506,Asia
鋼鐵冶鍊,317,131979385630.0,416338755.9305994,Asia
電子連接器（線）製造,538,131881444540.0,245132796.54275092,Asia
其他塑膠原料製造,314,131757183680.0,419608865.22292995,Asia
航空運輸,147,130814517713.0,889894678.3197279,Asia
無線通信服務,366,126795394047.0,346435502.8606557,Asia
百貨公司,682,125098499460.0,183428884.83870968,Asia
海洋水運,281,121374315970.0,431937067.50889677,Asia
其他信託、基金及類似金融實體,36,119693075011.0,3324807639.1944447,Asia
電腦及電腦週邊設備零售,5420,118152266727.0,21799311.20424354,Asia
液晶面板及其組件製造,43,116188958754.0,2702068808.2325583,Asia
其他未分類金融中介,1418,116114247822.0,81885929.3526093,Asia
其他汽車貨運,6540,114961095159.0,17578149.106880736,Asia
道路工程,1148,114224334483.0,99498549.20121951,Asia
觀光旅館,412,112959180299.0,274172767.7160194,Asia
二極體製造,24,110192846780.0,4591368615.833333,Asia
旅館,3805,108757875179.0,28582884.409724046,Asia
室內裝潢工程,26237,107288421990.0,4089203.1097305333,Asia
電子管製造,86,105479589160.0,1226506850.6976745,Asia
其他資料處理、主機及網站代管服務,2616,104884207992.0,40093351.67889908,Asia
綜合商品批發,5615,100139248109.0,17834238.309706144,Asia
電線及電纜製造,591,97930006650.0,165702210.9137056,Asia
住宅營建,2518,93008367838.0,36937397.87053217,Asia
未分類其他通訊傳播設備製造,206,91858351371.0,445914327.0436893,Asia
半導體封裝及測試,53,91178335410.0,1720345951.1320755,Asia
電纜裝修工程,622,88360705015.0,142059011.27813506,Asia
未分類其他機械器具批發,14729,86591609221.0,5878987.658428949,Asia
未分類其他資訊服務,4944,85372396339.0,17267879.51840615,Asia
動物飼品製造,347,84949034335.0,244809897.21902016,Asia
土地開發,827,83714064358.0,101226196.3216445,Asia
其他汽車零件製造,1583,81322037980.0,51372102.32469994,Asia
郵政儲金匯兌,769,79932000000.0,103942782.83485046,Asia
未分類其他食品批發,16024,79593521110.0,4967144.352845731,Asia
其他建築工程,2987,79515384361.0,26620483.549045864,Asia
貨櫃及貨物集散站經營,110,78756794524.0,715970859.3090909,Asia
其他未分類專業、科學及技術服務,2986,78340463569.0,26235922.159745477,Asia
砂糖製造,7,78305192000.0,11186456000.0,Asia
記憶體製造,8,78295709279.0,9786963659.875,Asia
未分類其他專門營造,8796,77242963114.0,8781601.081628013,Asia
建材五金（基本金屬）批發,9115,75004083103.0,8228643.236752606,Asia
餐館、餐廳,34942,72145367576.0,2064717.748726461,Asia
證券投資顧問,1092,69973667342.0,64078449.94688645,Asia
票券金融,36,69359072170.0,1926640893.6111112,Asia
聚酯纖維梭織布製造,101,69213458790.0,685281770.1980197,Asia
其他視聽電子產品製造,502,65027721935.0,129537294.69123507,Asia
陶瓷餐具燒製,122,64514362570.0,528806250.57377046,Asia
全新汽車零售,1975,63099739431.0,31949235.15493671,Asia
水泥製造,67,62856518390.0,938156990.8955224,Asia
輪胎製造,69,61342915710.0,889027763.9130435,Asia
